supply_node,geography,other_index_1,unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,resource_bin,year,value,sensitivity
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2018,1795.364343,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2019,1839.4277329999998,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2020,1922.798445,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2021,1963.649238,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2022,2030.4289350000001,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2023,2099.230439,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2024,2170.806805,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2025,2249.249648,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2026,2322.204293,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2027,2390.324288,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2028,2417.426747,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2029,2534.644123,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2030,2623.162188,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2031,2694.676118,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2032,2774.520625,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2033,2797.203387,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2034,2686.474426,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2035,2649.741232,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2036,2690.718932,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2037,2736.0017190000003,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2038,2750.5175440000003,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2039,2810.12639,
Coal Primary - Domestic,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2040,2838.3921010000004,
Direct Air Capture w/Sequestration Blend,us,,mmBtu,linear_interpolation,nearest,,,,,us,,,2016,10000.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2011,30.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2012,31.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2013,31.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2014,31.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2015,32.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2016,33.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2017,38.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2018,38.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2019,40.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2020,41.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2021,42.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2022,43.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2023,45.0,
LPG Feedstock Delivery,census region,,TBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,midwest,,,2024,45.0,
